Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),F_{Drag} (lbs),F_{Side} (lbs),F_{Lift} (lbs),L/D,F_{Aero x} (lbs),F_{Aero y} (lbs),F_{Aero z} (lbs),F_{Prop x} (lbs),F_{Prop y} (lbs),F_{Prop z} (lbs),F_{Gear x} (lbs),F_{Gear y} (lbs),F_{Gear z} (lbs),F_{Ext x} (lbs),F_{Ext y} (lbs),F_{Ext z} (lbs),F_{Buoyant x} (lbs),F_{Buoyant y} (lbs),F_{Buoyant z} (lbs),F_{Weight x} (lbs),F_{Weight y} (lbs),F_{Weight z} (lbs),F_{Total x} (lbs),F_{Total y} (lbs),F_{Total z} (lbs),L_{Aero} (ft-lbs),M_{Aero} (ft-lbs),N_{Aero} (ft-lbs),L_{Aero MRC} (ft-lbs),M_{Aero MRC} (ft-lbs),N_{Aero MRC} (ft-lbs),L_{Prop} (ft-lbs),M_{Prop} (ft-lbs),N_{Prop} (ft-lbs),L_{Gear} (ft-lbs),M_{Gear} (ft-lbs),N_{Gear} (ft-lbs),L_{ext} (ft-lbs),M_{ext} (ft-lbs),N_{ext} (ft-lbs),L_{Buoyant} (ft-lbs),M_{Buoyant} (ft-lbs),N_{Buoyant} (ft-lbs),L_{Total} (ft-lbs),M_{Total} (ft-lbs),N_{Total} (ft-lbs),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),JT9D-3_N1[0],JT9D-3_N2[0],Direct Thrust (engine 0 in lbs),JT9D-3_N1[1],JT9D-3_N2[1],Direct Thrust (engine 1 in lbs),JT9D-3_N1[2],JT9D-3_N2[2],Direct Thrust (engine 2 in lbs),JT9D-3_N1[3],JT9D-3_N2[3],Direct Thrust (engine 3 in lbs),Fuel Tank 0,Fuel Tank 1,Fuel Tank 2,Fuel Tank 3,Fuel Tank 4
0,0,0,0,1.660464097219636e-07,5.721556901749399,2.581288578497513e-09,-0.001636905905072877,0.00286793458128328,-0.002559647192468805,297.4456621,84706239.29,519.997064207,801.152719616,519.9970642072158,0,-1.4210854715202e-14,-1.662526134736492,-0.04395306416360051,16.9684474021661,8.592090500985933,11.04630257404578,-9.774334568111323,-1.476858744967144,5.306706450971792e-15,-15.2266835365051,519.9970642072159,-4.161227068203038e-14,-1.394977545946067e-14,554.8334373515495,-540.8334958047168,-203.726941667481,-467.0972239007407,103.5010311405607,-203.726941667481,-259.9914129991261,-450.3183368461093,-3.848045087444997,34675.06571181838,1.2018604956696e-10,352815.1702779018,10.17489551,-34675.06571181839,1.229608887336335e-10,-352815.1702779018,454.9961653026232,0,0,0,0,0,0,0,0,0,0,0,-4936.328124752035,-1017.112503458571,746395.5726858305,-34220.06954651576,1.229608887336335e-10,-352815.1702779018,3.978429648596603e-09,2672038.529020534,-3.698248238643613e-09,4.046316281814584e-09,2275777.464857429,-3.843022586208049e-09,0,920.8764329274866,0,0,0,0,0,0,0,0,0,0,3.978429648596603e-09,2672959.405453462,-3.698248238643613e-09, 28754189.28,5.459133379e-12,-1121443.245,5.459133379e-12, 26767066.74,3.872435072e-12,-1121443.245,3.872435072e-12, 64726877.34,23170.84803,745500,1352.719651240778,-4.997035946964338e-15,-46.71294433266264,2500.0000000075,2490.1660748532,-8.050999484493402e-15,0.4239999999999875,239.9999999999999,-0.4999965773225759,-0.003204371565106826,-0.001850044785698088,0.8660194755332429,0.2249604856928209,0.01607165564091997,0.8978088478536945,0.3782509147079902,-0.2249604856928209,-0.01607165564091996,-0.8978088478536945,-0.3782509147079902,-1.5370534066395e-15,-4.5850402822394e-15,37.569405781275,37.755530531243,-122.23172194413,-8836044.507598653,-14014187.39628064,12744398.09835068,-8836044.507598653,-14014187.39628064,12744398.09835068,0,2490.1660748532,9.8470656760037,0,0,113.749,0,0,113.749,0,0,113.749,0,0,113.749,25000,75000,80000,75000,25000
0.2,-0.5092121652211615,-0.01060956076963837,0.1991768543060752,-2.391357682013194,-0.03488097668968656,0.9475254707016056,-0.5107431789311403,-0.007742493859062969,0.1965515490277053,307.3203165,86085952.98,528.649343223,801.446002833,519.6013316433483,-0.5604976349472111,20.84466727617654,0.1488896933398411,-3.867838263929252,-1.061087762149135,-0.2024398910762546,-1.959193211711185,-0.7382558937914396,1.635812053453111,-1.849633163581421,-33.12111007536094,528.0354485250493,14.05383614856975,21.24106589191269,554.791037508685,-541.2517315702235,-203.8851716738402,-467.1460112412322,103.0815168200845,-203.8851716738403,-260.3505451937951,-450.1349799894667,-4.05605278196391,57061.95087067835,-41355.0859179669,765812.0039186074,13.42071191,-25116.06359875055,-42857.42873187919,-767441.6973725618,63019.09209109707,0,0,0,0,0,0,0,0,0,0,0,-35148.97632276683,-616.4098750560079,745581.7899623069,37903.02849234652,-42857.42873187919,-767441.6973725618,-1218679.914343581,-142678.7465850979,1117188.659548473,-1191133.615200429,-972286.5459904161,1162616.21796313,0,127545.851303982,0,0,0,0,0,0,0,0,0,0,-1218679.914343581,-15132.89528111584,1117188.659548473, 28754080.69,-5.459161146e-12,-1121441.704,-5.459161146e-12, 26767054.39,-3.872431665e-12,-1121441.704,-3.872431665e-12, 64726756.92,23170.77222,745497.5609,1352.71963151094,4.997052296053523e-15,-46.71291231179114,2500.6214588992,2490.6255075125,0.03080712509903569,2.744150528879137,240.018622038035,-0.4999917359125382,-0.02086940229641036,-0.01174310424789206,0.8656990421443126,0.2066754979712448,0.008613204339573593,0.9022761752004473,0.3782971780425998,-0.2066727393792234,-0.008606624837713323,-0.9022762379849346,-0.3782986851340407,2.3035718799302,1.5233545338462,37.569263141615,37.755387643137,-122.23203335084,-8835933.544855971,-14014295.60648435,12744357.33565154,-8836137.931626676,-14014166.73970685,12744357.33565154,0.00083561482644808,2490.6255075125,10.009094297886,75.0103,85.7202,15754.8,75.0103,85.7202,15754.8,75.0103,85.7202,15754.8,75.0103,85.7202,15754.8,24999.7,74999.4,79999.4,74999.4,24999.7
0.4,-0.9370014417495767,-0.01487646183190823,0.3707880266902903,-1.866801644456296,-0.008745189130392159,0.7606578870392188,-0.9385297237782517,-0.0120012600069054,0.3681700366290361,307.325284,86085618.86,528.659944622,801.717920355,519.6285906099602,-1.49994952919468,20.64034362512915,0.1217868757980971,-5.534942477299778,-0.9840681173130719,-0.1375015272752531,-1.839110533485286,-0.7919589124788615,1.613672468481599,-1.72830151930811,-32.98571273738376,528.0771856940045,13.10498226835655,21.07326355714355,554.7571971348979,-541.6312153225286,-204.0384832169226,-467.1862560418899,102.7007563017248,-204.0384832169225,-260.6830106021356,-449.9650627391811,-4.237465088785925,57058.71654745394,-38643.38721938412,762672.1069704904,13.36644343,-25627.92536272247,-40045.9441236482,-764301.8272001484,63017.83492697102,0,0,0,0,0,0,0,0,0,0,0,-35120.0216205586,-2462.972516855807,745576.7395218948,37389.90956424855,-40045.9441236482,-764301.8272001484,-951808.2557707662,-127612.6457735033,895786.7942897785,-926069.1293186657,-954219.8920130888,938234.1966495811,0,127543.4823657375,0,0,0,0,0,0,0,0,0,0,-951808.2557707662,-69.16340776585275,895786.7942897785, 28753967.39,5.459190119e-12,-1121440.097,5.459190119e-12, 26767041.51,3.87242811e-12,-1121440.097,3.87242811e-12, 64726631.26,23170.69312,745495.0158,1352.719610923515,-4.997069355780373e-15,-46.71287889908446,2501.2820148095,2491.642892976,-0.1110520122297379,2.741857371151126,240.0754027902946,-0.5004463008644859,-0.02022674794580221,-0.01281480971751612,0.8654363981659733,0.2065189367760323,0.008809115164100984,0.9017890295421735,0.3795377114863653,-0.2065134014887912,-0.008795963264546279,-0.90178915792043,-0.3795407233656747,2.2852128240241,1.4204539302733,37.569120317357,37.755244569768,-122.23234463863,-8835822.590249121,-14014403.89517923,12744316.54346511,-8836231.365069749,-14014146.16187976,12744316.54346511,0.0016712296528962,2491.642892976,9.6522700786591,75.0103,85.7202,15754.5,75.0103,85.7202,15754.5,75.0103,85.7202,15754.5,75.0103,85.7202,15754.5,24999.4,74998.7,79998.7,74998.7,24999.4
0.6,-1.261549190043903,-0.01501627533944479,0.5050402523207683,-1.361844784657712,0.00693271599156579,0.5750383993407217,-1.2630732032456,-0.01212869964554823,0.5024334163405875,307.3270831,86084788.64,528.668141743,801.985703478,519.6493873320868,-2.736544705356977,20.45077482308672,0.08436318566962031,-6.824152312556957,-0.9141056920083273,-0.08120739837556812,-1.737538313032683,-0.8292782292152374,1.589322275745989,-1.565714683877452,-32.87816317167615,528.1202855567791,11.85370396389166,20.93938346933514,554.735450745048,-541.9886141828624,-204.2008578958705,-467.2144224668008,102.3420817455185,-204.2008578958705,-261.0073382890546,-449.7967048425606,-4.393437656268809,57150.71924568321,-35005.94776121716,760171.5143214044,13.30117144,-26190.91861849423,-36278.57060305807,-761807.2284847233,63016.49162064196,0,0,0,0,0,0,0,0,0,0,0,-35089.95597898317,-5274.440228839929,745560.9627033595,36825.57300214774,-36278.57060305807,-761807.2284847233,-694783.0079048416,-116922.5081306807,676187.4580838083,-671465.423776112,-941246.0389704439,714641.5044221524,0,127540.9390723229,0,0,0,0,0,0,0,0,0,0,-694783.0079048416,10618.43094164229,676187.4580838083, 28753854.08,5.459219093e-12, -1121438.49,5.459219093e-12, 26767028.62,3.872424555e-12, -1121438.49,3.872424555e-12, 64726505.61,23170.61402,745492.4708,1352.719590336374,-4.997086415271967e-15,-46.71284548683855,2501.9760084786,2492.5848467314,-0.3270405912127999,2.739436786874042,240.1629658914681,-0.5011448794482362,-0.01925412516890306,-0.01445015631408458,0.8650284859178289,0.2062690748039686,0.009112047861180453,0.9010456090944722,0.3814273845633815,-0.2062607305175545,-0.009092336274396342,-0.9010458082171662,-0.3814318968855537,2.2705248157099,1.2847835441377,37.568977313062,37.755101315751,-122.23265580884,-8835711.641171884,-14014512.25750047,12744275.71965522,-8836324.805324899,-14014125.65793425,12744275.71965522,0.0025068444793442,2492.5848467314,9.4043149277568,75.0103,85.7202,15754.1,75.0103,85.7202,15754.1,75.0103,85.7202,15754.1,75.0103,85.7202,15754.1,24999,74998.1,79998.1,74998.1,24999
0.8,-1.484446311931941,-0.01253562486516245,0.6013706613272003,-0.862057905502112,0.01766378935039059,0.3859126029447358,-1.485964848989693,-0.009632609581732184,0.5987778152224538,307.3074949,86077985.44,528.630000455,802.247948884,519.6616042866956,-4.192116691780029,20.27436498617334,0.03713940837431706,-7.712064223067928,-0.8520765569937154,-0.03180671668937585,-1.634626226087619,-0.8408113105640496,1.562029388861311,-1.353149836995564,-32.78885943771567,528.1203828058577,10.23145602931985,20.82920914857123,554.7242742025749,-542.3251658403351,-204.3677215103311,-467.2320334516521,102.0042548577377,-204.3677215103312,-261.3210367622437,-449.6305344781294,-4.528233451376515,57343.65204298873,-30249.00463605257,758087.9454270925,13.22008485,-26827.40246881483,-31353.2055379068,-759735.4122931507,63020.45895541898,0,0,0,0,0,0,0,0,0,0,0,-35070.68896793391,-8789.754998741089,745526.1059631372,36193.05648660415,-31353.2055379068,-759735.4122931507,-440260.0486444199,-108954.1850708494,452738.4753900058,-420108.2667966606,-931489.375079473,485971.7491111808,0,127549.1441625103,-2.328306436538696e-10,0,0,0,0,0,0,0,0,0,-440260.0486444199,18594.95909166089,452738.4753900056, 28753740.77,-5.459248068e-12,-1121436.883,-5.459248068e-12, 26767015.74,-3.872420999e-12,-1121436.883,-3.872420999e-12, 64726379.95,23170.53491,745489.9256,1352.719569747723,4.997103476014795e-15,-46.71281207214199,2502.6988161691,2493.4926124898,-0.597110325377876,2.737814140230753,240.2738068024391,-0.50202541762214,-0.01804477201848415,-0.01649918401273425,0.864507167807781,0.2059432242515344,0.009497554754859945,0.90011211196221,0.3837907903239612,-0.2059320295776119,-0.00947129986669013,-0.9001123886083487,-0.3837967972073947,2.2585902485088,1.1090098071176,37.568834133645,37.754957886053,-122.23296686264,-8835600.695364254,-14014620.68924088,12744234.86282015,-8836418.250135126,-14014105.223663,12744234.86282015,0.0033424593057923,2493.4926124898,9.2193616144359,75.0103,85.7202,15755.1,75.0103,85.7202,15755.1,75.0103,85.7202,15755.1,75.0103,85.7202,15755.1,24998.7,74997.5,79997.5,74997.5,24998.7
1,-1.611036737947796,-0.008187700716234446,0.6608216779398203,-0.3985281432647524,0.02598894104187479,0.2061396672237788,-1.612548937216224,-0.005267322867785919,0.6582446738557428,307.2736103,86066503.89,528.573702557,802.503495487,519.6638708874908,-5.789128031582294,20.10975526491896,-0.01468993452101963,-8.223146444512597,-0.7936266143821626,0.01188577298860061,-1.536163256750296,-0.837714370097423,1.534485097521611,-1.113775848562612,-32.7131852698938,528.0997596434675,8.41375973384527,20.73671976010235,554.7223966512194,-542.6418081486488,-204.5355494061711,-467.2403587100861,101.6863372707347,-204.5355494061711,-261.6222093595006,-449.4671255564797,-4.645167359864001,57593.49086504003,-24893.08308769214,756317.8825443389,13.13200279,-27470.69364631723,-25806.69406273562,-757979.413153238,63025.41276387859,0,0,0,0,0,0,0,0,0,0,0,-35070.49151323701,-12753.9451347143,745466.2272070437,35554.71911756136,-25806.69406273562,-757979.413153238,-204092.361222688,-103088.485042106,240574.7538007932,-187505.5846336888,-924174.4670888272,267928.8799417265,0,127559.3458575915,0,0,0,0,0,0,0,0,0,0,-204092.361222688,24470.86081548553,240574.7538007932, 28753627.45,           0,-1121435.276,           0, 26767002.85,           0,-1121435.276,           0, 64726254.28,23170.45579,745487.38,1352.719549156247,0,-46.71277865286132,2503.4465543665,2494.2027024524,-0.9016853427782847,2.737635265265138,240.400374147567,-0.5030261111759031,-0.01668824686757208,-0.018814573134326,0.8639052295995829,0.2055607458802587,0.009940749434081258,0.8990535841182272,0.3864564841453824,-0.2055466553180039,-0.009907969416848263,-0.8990539459660785,-0.3864639787515005,2.2486593104413,0.91206444884462,37.568690785576,37.754814287188,-122.2332778018,-8835489.75084419,-14014729.18630161,12744193.97245748,-8836511.697521156,-14014084.85496712,12744193.97245748,0.0041780741322404,2494.2027024524,9.2570135630667,75.0103,85.7202,15756.4,75.0103,85.7202,15756.4,75.0103,85.7202,15756.4,75.0103,85.7202,15756.4,24998.4,74996.8,79996.8,74996.8,24998.4
1.2,-1.654034250536937,-0.00247843086958936,0.6874663620922326,-0.01853336007146294,0.03177788148482605,0.05503742132891159,-1.655539585923032,0.0004601935614984658,0.684906136460988,307.2604326,86063226.49,528.56223276,802.753585962,519.6559791339073,-7.458455016650902,19.95613929608263,-0.06452026460923532,-8.427319903592764,-0.739188025409284,0.0493453022593453,-1.463663639413237,-0.8381166704123686,1.510395690058913,-0.8853960479187648,-32.65433390912197,528.1158638624819,6.686649553592508,20.66293674285446,554.728595147712,-542.941974029126,-204.7034888258064,-467.2406203400406,101.3848956366628,-204.7034888258065,-261.9123484857673,-449.3056809253109,-4.747577842737655,57842.79675066391,-19784.79487005112,754938.9467853662,13.05156371,-28028.86910132509,-20514.9599328768,-756613.2165996308,63025.30616153586,0,0,0,0,0,0,0,0,0,0,0,-35094.68583548404,-16932.96198069112,745379.2621120672,34996.43706021077,-20514.9599328768,-756613.2165996308,-10390.15018108323,-99555.46805119247,62442.99379753473,2795.404768180051,-919550.7135865923,84188.04536767275,0,127559.3056354153,0,0,0,0,0,0,0,0,0,0,-10390.15018108323,28003.83758422286,62442.99379753473, 28753514.12,1.164153218e-10,-1121433.668,1.164153218e-10, 26766989.97,           0,-1121433.668,           0,  64726128.6,23170.37667,745484.8343,1352.719528563323,0,-46.71274523122948,2504.2159653977,2494.8220039728,-1.222799011970419,2.739318845525318,240.5355531739971,-0.5040895566537372,-0.01526620617585809,-0.02126077891197396,0.8632546791658249,0.2051408636688772,0.0104176723335892,0.8979307994701714,0.3892672314993854,-0.2051238319840252,-0.0103783854357198,-0.897931254411906,-0.3892762065914102,2.2405983017892,0.72484750973387,37.568547275713,37.754670526055,-122.23358862816,-8835378.805869695,-14014837.74491604,12744153.04855878,-8836605.145743543,-14014064.54808003,12744153.04855878,0.0050136889586885,2494.8220039728,9.4071263037622,75.0103,85.7202,15756.3,75.0103,85.7202,15756.3,75.0103,85.7202,15756.3,75.0103,85.7202,15756.3,24998.1,74996.2,79996.2,74996.2,24998.1
1.4,-1.624143236160152,0.004396304495038993,0.6848256664464125,0.3234027497574243,0.03747625461066755,-0.08403499642379057,-1.625641480324411,0.007353195150235467,0.6822823682861546,307.2301283,86054665.07,528.522572564,802.998037314,519.6382566904294,-9.138876241449509,19.81442763522351,-0.1119927355186223,-8.328091507074767,-0.6727393090195051,0.08237808725876938,-1.387609070380801,-0.8242908390349193,1.487224510937359,-0.6436752472770841,-32.60174506574062,528.0986672273933,4.862532586899546,20.59764935205688,554.7418477995128,-543.2270733497669,-204.8699026462453,-467.2338394380741,101.0985197290772,-204.8699026462453,-262.1912160221555,-449.1463124204321,-4.837840188310608,58121.77331254281,-14380.02155545031,753704.800128739,12.96768418,-28568.23406738187,-14914.1470006765,-755392.1336044914,63027.66849951067,0,0,0,0,0,0,0,0,0,0,0,-35145.89130219797,-21129.39191001246,745267.0847492401,34459.43443212881,-14914.1470006765,-755392.1336044914,163987.6146744118,-97200.81176366971,-101347.5855696847,173573.3244802959,-916247.0467122968,-85539.20126740611,0,127564.2624125198,0,0,0,0,0,0,0,0,0,0,163987.6146744118,30363.45064885008,-101347.5855696847, 28753400.78,           0,-1121432.061,           0, 26766977.08,           0,-1121432.061,           0, 64726002.91,23170.29754,745482.2885,1352.719507969094,0,-46.71271180747988,2505.0044347122,2495.4185781974,-1.545296723899091,2.743074606440465,240.673184789186,-0.5051668926760433,-0.01384729524469613,-0.02372332268534264,0.8625844114747288,0.2047008654275697,0.01090705198317079,0.8967962613188248,0.3920906242118247,-0.2046808509714417,-0.01086127517869736,-0.8967968168988326,-0.392101072616769,2.2335986618484,0.52714215048251,37.568403609743,37.754526608375,-122.23389934289,-8835267.858935863,-14014946.36208009,12744112.09116982,-8836698.593299797,-14014044.29999779,12744112.09116982,0.0058493037851365,2495.4185781974,9.5990245081484,75.0103,85.7202,15756.9,75.0103,85.7202,15756.9,75.0103,85.7202,15756.9,75.0103,85.7202,15756.9,24997.8,74995.5,79995.5,74995.5,24997.8
1.6,-1.530869412611047,0.01234718673595846,0.6561043527339825,0.6094653169139899,0.04225690438658356,-0.2034823295737231,-1.532360617286251,0.01532160839792429,0.6535774123215514,307.1931851,86044583.21,528.474629184,803.235674104,519.6116011091585,-10.77348715681825,19.68751351092536,-0.1530240919775128,-7.967596864143533,-0.5904118977483819,0.1104290150672149,-1.31555488925418,-0.8019652974722398,1.466435140364833,-0.405362212995163,-32.55713175374716,528.0663263663674,3.067545312452136,20.5421229442495,554.7612263599323,-543.4971676975251,-205.0325793261169,-467.220943376548,100.8271476646661,-205.0325793261168,-262.4573926633386,-448.9897717402023,-4.917736270618054,58407.18917059542,-9053.45741474699,752656.4111382669,12.88636591,-29052.85716170638,-9392.331009501393,-754355.8534766305,63030.47964531835,0,0,0,0,0,0,0,0,0,0,0,-35225.00955455066,-25167.55569391936,745135.2958302759,33977.62248361197,-9392.331009501393,-754355.8534766305,309944.4742207566,-96237.71032088483,-241869.8158399313,315981.1432470954,-914495.6349953265,-231914.346200339,0,127570.1275833411,0,0,0,0,0,0,0,0,0,0,309944.4742207566,31332.41726245626,-241869.8158399313, 28753287.43,-5.459364e-12,-1121430.453,-5.459364e-12, 26766964.19,-3.872406771e-12,-1121430.453,-3.872406771e-12,  64725877.2,23170.21841,745479.7424,1352.719487372651,4.997171735946989e-15,-46.71267838013672,2505.8097079657,2496.2012463283,-1.855686870118109,2.748979581385342,240.80765343716,-0.5062144232195158,-0.012492765304785,-0.02610036163801168,0.8619220728476197,0.2042567853901037,0.0113889067198872,0.8956981749354714,0.3948091157041493,-0.2042337530947557,-0.01133665442776214,-0.895698837805093,-0.3948210307440849,2.2277197688213,0.33257677309313,37.568259794363,37.754382540876,-122.23420994773,-8835156.908722006,-14015055.0347445,12744071.1008472,-8836792.038871465,-14014024.10767133,12744071.1008472,0.0066849186115846,2496.2012463283,9.6216337271035,75.0103,85.7202,15757.6,75.0103,85.7202,15757.6,75.0103,85.7202,15757.6,75.0103,85.7202,15757.6,24997.5,74994.9,79994.9,74994.9,24997.5
1.8,-1.386156880802856,0.02111011394352903,0.6055988137340799,0.8369740587888131,0.04548752154122292,-0.301519820598813,-1.387641344740259,0.02410071221500227,0.6030870429938033,307.1517247,86033753.28,528.421835578,803.466244644,519.5775760572976,-12.31466460486195,19.57863937129385,-0.1853346754239467,-7.39110142861118,-0.4911435422227939,0.1332334810961271,-1.249127055973229,-0.7721819793979492,1.448444614702376,-0.1785365650969809,-32.52116708877445,528.0223897650701,1.361628069654474,20.49727278614646,554.7856817283556,-543.7535076936158,-205.1900984505866,-467.2029805539087,100.5695286104139,-205.1900984505865,-262.7107387050227,-448.8362787735728,-4.989413922611156,58689.90577874747,-3985.499194216192,751809.626323514,12.80986255,-29472.78560100549,-4136.717077207659,-753519.9705101302,63033.4490414276,0,0,0,0,0,0,0,0,0,0,0,-35331.28231104117,-28900.31269567757,744992.2083249891,33560.66344042211,-4136.717077207659,-753519.9705101302,426091.1195902815,-96657.72861836595,-357057.209017403,428749.87209628,-914298.1752409316,-352672.4727326473,0,127576.3130785673,2.328306436538696e-10,0,0,0,0,0,0,0,0,0,426091.1195902815,30918.58446020135,-357057.2090174028, 28753174.06,-1.164153218e-10,-1121428.845,-1.164153218e-10,  26766951.3,           0,-1121428.845,           0, 64725751.49,23170.13927,745477.1961,1352.719466774021,0,-46.71264494924527,2506.629933998,2497.5085742697,-2.142661088865587,2.756982217967818,240.9341243859875,-0.5071952878651481,-0.01125398940682542,-0.02830654632535655,0.8612926489439875,0.203822781605983,0.0118455064284417,0.8946782780748854,0.3973244724615025,-0.2037967051453425,-0.01178678953094803,-0.8946790535572751,-0.3973378482982886,2.223045592051,0.14763891788712,37.568115836574,37.754238330588,-122.23452044472,-8835045.954107141,-14015163.76003131,12744030.07848146,-8836885.481339641,-14014003.96822295,12744030.07848146,0.0075205334380327,2497.5085742697,9.1345386840403,75.0103,85.7202,15758.4,75.0103,85.7202,15758.4,75.0103,85.7202,15758.4,75.0103,85.7202,15758.4,24997.1,74994.3,79994.3,74994.3,24997.1
